t_s,speed_ref_rpm,speed_ref_rad_s,torque_ref_Nm
0,0,0,0
0.00499745352670189,0,0,0
0.00999490705340023,0,0,0
0.0149923605800986,0,0,0
0.0199898141068005,0,0,0
0.0249872676334988,0,0,0
0.0299847211602007,0,0,0
0.034982174686899,0,0,0
0.0399796282136009,0,0,0
0.0449770817402992,0,0,0
0.0499745352670011,0,0,0
0.0549719887936995,0,0,0
0.0599694423204014,0,0,0
0.0649668958470997,0,0,0
0.0699643493738016,0,0,0
0.0749618029004999,0,0,0
0.0799592564272018,0,0,0
0.0849567099539001,0,0,0
0.0899541634805985,0,0,0
0.0949516170073004,0,0,0
0.0999490705339987,0,0,0
0.104946524060701,0,0,0
0.109943977587399,0,0,0
0.114941431114101,0,0,0
0.119938884640799,0,0,0
0.124936338167501,0,0,0
0.129933791694199,0,0,0
0.134931245220901,0,0,0
0.1399286987476,0,0,0
0.144926152274302,0,0,0
0.149923605801,0,0,0
0.154921059327702,0,0,0
0.1599185128544,0,0,0
0.164915966381102,0,0,0
0.1699134199078,0,0,0
0.174910873434499,0,0,0
0.179908326961201,0,0,0
0.184905780487899,0,0,0
0.189903234014601,0,0,0
0.194900687541299,0,0,0
0.199898141068001,0,0,0
0.204895594594699,0,0,0
0.209893048121401,0,0,0
0.2148905016481,0,0,0
0.219887955174801,0,0,0
0.2248854087015,0,0,0
0.229882862228202,0,0,0
0.2348803157549,0,0,0
0.239877769281602,0,0,0
0.2448752228083,0,0,0
0.249872676334999,0,0,0
0.2548701298617,0,0,0
0.259867583388399,0,0,0
0.264865036915101,0,0,0
0.269862490441799,0,0,0
0.274859943968501,0,0,0
0.279857397495199,0,0,0
0.284854851021901,0,0,0
0.289852304548599,0,0,0
0.294849758075301,0,0,0
0.299847211602,0,0,0
0.304844665128702,0,0,0
0.3098421186554,0,0,0
0.314839572182102,0,0,0
0.3198370257088,0,0,0
0.324834479235498,0,0,0
0.3298319327622,0,0,0
0.334829386288899,0,0,0
0.339826839815601,0,0,0
0.344824293342299,0,0,0
0.349821746869001,0,0,0
0.354819200395699,0,0,0
0.359816653922401,0,0,0
0.364814107449099,0,0,0
0.369811560975801,0,0,0
0.3748090145025,0,0,0
0.379806468029201,0,0,0
0.3848039215559,0,0,0
0.389801375082602,0,0,0
0.3947988286093,0,0,0
0.399796282136002,0,0,0
0.4047937356627,0,0,0
0.409791189189399,0,0,0
0.4147886427161,0,0,0
0.419786096242799,0,0,0
0.424783549769501,0,0,0
0.429781003296199,0,0,0
0.434778456822901,0,0,0
0.439775910349599,0,0,0
0.444773363876301,0,0,0
0.449770817403,0,0,0
0.454768270929701,0,0,0
0.4597657244564,0,0,0
0.464763177983102,0,0,0
0.4697606315098,0,0,0
